player_season_id,player_id,club_id,season,minutes,appearances,starts,age
2018_PLAY00001,PLAY00001,EVE,2018_2019,"3,420",38,38,24
2018_PLAY00002,PLAY00002,EVE,2018_2019,"3,117",38,36,28
2018_PLAY00003,PLAY00003,EVE,2018_2019,"2,969",33,33,25
2018_PLAY00004,PLAY00004,EVE,2018_2019,"2,965",35,33,25
2018_PLAY00005,PLAY00005,EVE,2018_2019,"2,822",33,32,28
2018_PLAY00006,PLAY00006,EVE,2018_2019,"2,665",35,32,21
2018_PLAY00007,PLAY00007,EVE,2018_2019,"2,612",32,29,23
2018_PLAY00008,PLAY00008,EVE,2018_2019,"2,558",29,29,29
2018_PLAY00009,PLAY00009,EVE,2018_2019,"2,116",34,25,25
2018_PLAY00010,PLAY00010,EVE,2018_2019,"2,119",37,24,29
2018_PLAY00011,PLAY00011,EVE,2018_2019,"1,980",27,24,25
2018_PLAY00012,PLAY00012,EVE,2018_2019,"1,784",35,19,21
2018_PLAY00013,PLAY00013,EVE,2018_2019,"1,059",25,10,27
2018_PLAY00014,PLAY00014,EVE,2018_2019,980,16,10,20
2018_PLAY00015,PLAY00015,EVE,2018_2019,892,13,10,23
2018_PLAY00016,PLAY00016,EVE,2018_2019,834,14,10,28
2018_PLAY00017,PLAY00017,EVE,2018_2019,791,10,8,21
2018_PLAY00018,PLAY00018,EVE,2018_2019,375,6,5,33
2018_PLAY00019,PLAY00019,EVE,2018_2019,408,5,4,21
2018_PLAY00020,PLAY00020,EVE,2018_2019,331,7,4,35
2018_PLAY00021,PLAY00021,EVE,2018_2019,618,21,3,20
2018_PLAY00022,PLAY00022,EVE,2018_2019,63,5,0,28
2018_PLAY00023,PLAY00023,EVE,2018_2019,15,1,0,27
2018_PLAY00024,PLAY00024,EVE,2018_2019,0,0,0,24
2018_PLAY00025,PLAY00025,EVE,2018_2019,0,0,0,20
2018_PLAY00026,PLAY00026,EVE,2018_2019,0,0,0,23
2018_PLAY00027,PLAY00027,EVE,2018_2019,0,0,0,35
2018_PLAY00028,PLAY00028,LIV,2018_2019,"3,420",38,38,25
2018_PLAY00029,PLAY00029,LIV,2018_2019,"3,384",38,38,27
2018_PLAY00030,PLAY00030,LIV,2018_2019,"3,250",38,37,26
2018_PLAY00031,PLAY00031,LIV,2018_2019,"3,216",36,36,24
2018_PLAY00032,PLAY00032,LIV,2018_2019,"3,077",36,35,26
2018_PLAY00033,PLAY00033,LIV,2018_2019,"2,725",35,32,27
2018_PLAY00034,PLAY00034,LIV,2018_2019,"2,607",34,31,26
2018_PLAY00035,PLAY00035,LIV,2018_2019,"2,462",29,27,19
2018_PLAY00036,PLAY00036,LIV,2018_2019,"2,017",28,21,24
2018_PLAY00037,PLAY00037,LIV,2018_2019,"1,987",32,21,28
2018_PLAY00038,PLAY00038,LIV,2018_2019,"1,789",31,19,32
2018_PLAY00039,PLAY00039,LIV,2018_2019,"1,537",22,17,26
2018_PLAY00040,PLAY00040,LIV,2018_2019,"1,390",25,16,23
2018_PLAY00041,PLAY00041,LIV,2018_2019,"1,063",16,12,21
2018_PLAY00042,PLAY00042,LIV,2018_2019,"1,064",24,11,26
2018_PLAY00043,PLAY00043,LIV,2018_2019,986,13,11,29
2018_PLAY00044,PLAY00044,LIV,2018_2019,468,13,5,30
2018_PLAY00045,PLAY00045,LIV,2018_2019,509,18,4,28
2018_PLAY00046,PLAY00046,LIV,2018_2019,371,12,4,23
2018_PLAY00047,PLAY00047,LIV,2018_2019,154,2,2,26
2018_PLAY00048,PLAY00048,LIV,2018_2019,111,4,1,27
2018_PLAY00049,PLAY00049,LIV,2018_2019,21,2,0,24
2018_PLAY00050,PLAY00050,LIV,2018_2019,1,1,0,18
2018_PLAY00051,PLAY00051,LIV,2018_2019,0,0,0,17
2018_PLAY00052,PLAY00052,LIV,2018_2019,0,0,0,25
2018_PLAY00053,PLAY00053,LIV,2018_2019,0,0,0,30
