player_id,full_name,dob,nationality
PLAY00001,Jordan Pickford,01/01/1995,ENG
PLAY00002,Gylfi Sigurðsson,01/01/1991,ISL
PLAY00003,Michael Keane,01/01/1994,ENG
PLAY00004,Lucas Digne,01/01/1994,FRA
PLAY00005,Idrissa Gana Gueye,01/01/1991,SEN
PLAY00006,Richarlison,01/01/1998,BRA
PLAY00007,Kurt Zouma,01/01/1996,FRA
PLAY00008,Séamus Coleman,01/01/1990,IRL
PLAY00009,Bernard,01/01/1994,BRA
PLAY00010,Theo Walcott,01/01/1990,ENG
PLAY00011,André Gomes,01/01/1994,POR
PLAY00012,Dominic Calvert-Lewin,01/01/1998,ENG
PLAY00013,Cenk Tosun,01/01/1992,TUR
PLAY00014,Tom Davies,01/01/1999,ENG
PLAY00015,Yerry Mina,01/01/1996,COL
PLAY00016,Morgan Schneiderlin,01/01/1991,FRA
PLAY00017,Jonjoe Kenny,01/01/1998,ENG
PLAY00018,Leighton Baines,01/01/1986,ENG
PLAY00019,Mason Holgate,01/01/1998,JAM
PLAY00020,Phil Jagielka,01/01/1984,ENG
PLAY00021,Ademola Lookman,01/01/1999,NGA
PLAY00022,Oumar Niasse,01/01/1991,SEN
PLAY00023,James McCarthy,01/01/1992,IRL
PLAY00024,Tyias Browning,01/01/1995,CHN
PLAY00025,Kieran Dowell,01/01/1999,ENG
PLAY00026,Sandro Ramírez,01/01/1996,ESP
PLAY00027,Maarten Stekelenburg,01/01/1984,NED
PLAY00028,Alisson,01/01/1994,BRA
PLAY00029,Virgil van Dijk,01/01/1992,NED
PLAY00030,Mohamed Salah,01/01/1993,EGY
PLAY00031,Andrew Robertson,01/01/1995,SCO
PLAY00032,Sadio Mané,01/01/1993,SEN
PLAY00033,Georginio Wijnaldum,01/01/1992,NED
PLAY00034,Roberto Firmino,01/01/1993,BRA
PLAY00035,Trent Alexander-Arnold,01/01/2000,ENG
PLAY00036,Fabinho,01/01/1995,BRA
PLAY00037,Jordan Henderson,01/01/1991,ENG
PLAY00038,James Milner,01/01/1987,ENG
PLAY00039,Joël Matip,01/01/1993,CMR
PLAY00040,Naby Keïta,01/01/1996,GUI
PLAY00041,Joe Gomez,01/01/1998,ENG
PLAY00042,Xherdan Shaqiri,01/01/1993,SUI
PLAY00043,Dejan Lovren,01/01/1990,CRO
PLAY00044,Adam Lallana,01/01/1989,ENG
PLAY00045,Daniel Sturridge,01/01/1991,ENG
PLAY00046,Divock Origi,01/01/1996,BEL
PLAY00047,Alberto Moreno,01/01/1993,ESP
PLAY00048,Nathaniel Clyne,01/01/1992,ENG
PLAY00049,Alex Oxlade-Chamberlain,01/01/1995,ENG
PLAY00050,Rafael Camacho,01/01/2001,POR
PLAY00051,Curtis Jones,01/01/2002,ENG
PLAY00052,Loris Karius,01/01/1994,GER
PLAY00053,Simon Mignolet,01/01/1989,BEL
